"","ID","Sample","Assay","SampleName","Type","rConc","AssayName","Value","Quality","Call","Threshold","Plate"
"46","S144-A22","S144","A22","CoV 50","Unknown",50,"RP",12.7059528276328,0.951177230406742,"Pass",0.033418851518901,"Plate2"
"47","S144-A23","S144","A23","CoV 50","Unknown",50,"RP",13.2476204030761,0.860309525596472,"Pass",0.033418851518901,"Plate2"
"48","S144-A24","S144","A24","CoV 50","Unknown",50,"RP",12.7538759344117,0.954299346029897,"Pass",0.033418851518901,"Plate2"
"49","S162-A01","S162","A01","CoV 500","Unknown",500,"N1",12.8156001942449,0.998457377318275,"Pass",0.033418851518901,"Plate1"
"50","S162-A02","S162","A02","CoV 500","Unknown",500,"N1",12.8211532282089,0.993911442591742,"Pass",0.033418851518901,"Plate1"
"51","S162-A03","S162","A03","CoV 500","Unknown",500,"N1",12.7829064601177,0.994750711099863,"Pass",0.033418851518901,"Plate1"
"52","S162-A04","S162","A04","CoV 500","Unknown",500,"N1",12.7440536166187,0.997973609493828,"Pass",0.033418851518901,"Plate1"
"53","S162-A05","S162","A05","CoV 500","Unknown",500,"N1",12.7510518506437,0.990500228655223,"Pass",0.033418851518901,"Plate1"
"54","S162-A06","S162","A06","CoV 500","Unknown",500,"N1",12.66328826248,0.98780643840954,"Pass",0.033418851518901,"Plate1"
"55","S162-A07","S162","A07","CoV 500","Unknown",500,"N1",12.5775679173716,0.978517942742186,"Pass",0.033418851518901,"Plate1"
"56","S162-A08","S162","A08","CoV 500","Unknown",500,"N1",12.7563347554289,0.991470393200978,"Pass",0.033418851518901,"Plate1"
"57","S162-A09","S162","A09","CoV 500","Unknown",500,"N1",12.4682591792525,0.969860883540592,"Pass",0.033418851518901,"Plate1"
"58","S162-A10","S162","A10","CoV 500","Unknown",500,"N2",12.9352000534332,0.978179003688725,"Pass",0.033418851518901,"Plate1"
"59","S162-A11","S162","A11","CoV 500","Unknown",500,"N2",13.3950025494695,0.885435715486471,"Pass",0.033418851518901,"Plate1"
"60","S162-A12","S162","A12","CoV 500","Unknown",500,"N2",12.7757689933914,0.957899666943505,"Pass",0.033418851518901,"Plate1"
"61","S162-A13","S162","A13","CoV 500","Unknown",500,"N2",12.7052691811446,0.939765825450841,"Pass",0.033418851518901,"Plate1"
"62","S162-A14","S162","A14","CoV 500","Unknown",500,"N2",13.3947860630809,0.879635625751359,"Pass",0.033418851518901,"Plate1"
"63","S162-A15","S162","A15","CoV 500","Unknown",500,"N2",12.8691057554138,0.967625400160892,"Pass",0.033418851518901,"Plate1"
"64","S162-A16","S162","A16","CoV 500","Unknown",500,"N2",12.9699809867822,0.976861613903232,"Pass",0.033418851518901,"Plate1"
"65","S162-A17","S162","A17","CoV 500","Unknown",500,"N2",13.3741118179477,0.885647568457332,"Pass",0.033418851518901,"Plate1"
"66","S162-A18","S162","A18","CoV 500","Unknown",500,"N2",13.1362956082297,0.857495144339908,"Pass",0.033418851518901,"Plate1"
"67","S162-A19","S162","A19","CoV 500","Unknown",500,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"68","S162-A20","S162","A20","CoV 500","Unknown",500,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"69","S162-A21","S162","A21","CoV 500","Unknown",500,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"70","S162-A22","S162","A22","CoV 500","Unknown",500,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"71","S162-A23","S162","A23","CoV 500","Unknown",500,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"72","S162-A24","S162","A24","CoV 500","Unknown",500,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"73","S168-A01","S168","A01","CoV 500","Unknown",500,"N1",12.1147451335788,0.930652173837908,"Pass",0.033418851518901,"Plate2"
"74","S168-A02","S168","A02","CoV 500","Unknown",500,"N1",12.1490154032359,0.925636199489069,"Pass",0.033418851518901,"Plate2"
"75","S168-A03","S168","A03","CoV 500","Unknown",500,"N1",12.1515177921406,0.940178892125041,"Pass",0.033418851518901,"Plate2"
"76","S168-A04","S168","A04","CoV 500","Unknown",500,"N1",12.0944823099548,0.932221255891826,"Pass",0.033418851518901,"Plate2"
"77","S168-A05","S168","A05","CoV 500","Unknown",500,"N1",12.1225064064464,0.929463004780226,"Pass",0.033418851518901,"Plate2"
"78","S168-A06","S168","A06","CoV 500","Unknown",500,"N1",12.1258449126721,0.935312924969202,"Pass",0.033418851518901,"Plate2"
"79","S168-A07","S168","A07","CoV 500","Unknown",500,"N1",12.111268607314,0.934216712698022,"Pass",0.033418851518901,"Plate2"
"80","S168-A08","S168","A08","CoV 500","Unknown",500,"N1",12.1356034267838,0.937171055185194,"Pass",0.033418851518901,"Plate2"
"81","S168-A09","S168","A09","CoV 500","Unknown",500,"N1",12.1099196514365,0.93548135545447,"Pass",0.033418851518901,"Plate2"
"82","S168-A10","S168","A10","CoV 500","Unknown",500,"N2",12.65667934936,0.962824144715464,"Pass",0.033418851518901,"Plate2"
"83","S168-A11","S168","A11","CoV 500","Unknown",500,"N2",12.6400801423349,0.958229014119509,"Pass",0.033418851518901,"Plate2"
"84","S168-A12","S168","A12","CoV 500","Unknown",500,"N2",12.6600823010944,0.961265394959086,"Pass",0.033418851518901,"Plate2"
"85","S168-A13","S168","A13","CoV 500","Unknown",500,"N2",12.6739275210048,0.967016023983484,"Pass",0.033418851518901,"Plate2"
"86","S168-A14","S168","A14","CoV 500","Unknown",500,"N2",12.6572334771332,0.958561275858222,"Pass",0.033418851518901,"Plate2"
"87","S168-A15","S168","A15","CoV 500","Unknown",500,"N2",12.6479629257506,0.959074080481024,"Pass",0.033418851518901,"Plate2"
"88","S168-A16","S168","A16","CoV 500","Unknown",500,"N2",12.6507517194144,0.964878168980906,"Pass",0.033418851518901,"Plate2"
"89","S168-A17","S168","A17","CoV 500","Unknown",500,"N2",12.6420636173847,0.967218616744866,"Pass",0.033418851518901,"Plate2"
"90","S168-A18","S168","A18","CoV 500","Unknown",500,"N2",12.6600415477234,0.962622927496277,"Pass",0.033418851518901,"Plate2"
"91","S168-A19","S168","A19","CoV 500","Unknown",500,"RP",12.8371950291584,1,"Pass",0.033418851518901,"Plate2"
"92","S168-A20","S168","A20","CoV 500","Unknown",500,"RP",12.6937561494015,0.982861532924455,"Pass",0.033418851518901,"Plate2"
"93","S168-A21","S168","A21","CoV 500","Unknown",500,"RP",12.738230288318,0.995212380840641,"Pass",0.033418851518901,"Plate2"
"94","S168-A22","S168","A22","CoV 500","Unknown",500,"RP",12.6975231062764,0.992930754989278,"Pass",0.033418851518901,"Plate2"
"95","S168-A23","S168","A23","CoV 500","Unknown",500,"RP",12.6662405719001,0.979018072154732,"Pass",0.033418851518901,"Plate2"
"96","S168-A24","S168","A24","CoV 500","Unknown",500,"RP",12.6716062842014,0.999777102129284,"Pass",0.033418851518901,"Plate2"
"97","S186-A01","S186","A01","CoV 5000","Unknown",5000,"N1",10.3898183319919,0.922864262299829,"Pass",0.033418851518901,"Plate1"
"98","S186-A02","S186","A02","CoV 5000","Unknown",5000,"N1",10.382714910013,0.918454833661389,"Pass",0.033418851518901,"Plate1"
"99","S186-A03","S186","A03","CoV 5000","Unknown",5000,"N1",10.3473117203708,0.920234526488228,"Pass",0.033418851518901,"Plate1"
"100","S186-A04","S186","A04","CoV 5000","Unknown",5000,"N1",10.3053774878568,0.918605387669044,"Pass",0.033418851518901,"Plate1"
"101","S186-A05","S186","A05","CoV 5000","Unknown",5000,"N1",10.3696584649342,0.924764742444354,"Pass",0.033418851518901,"Plate1"
"102","S186-A06","S186","A06","CoV 5000","Unknown",5000,"N1",10.199786808562,0.895791865955416,"Pass",0.033418851518901,"Plate1"
"103","S186-A07","S186","A07","CoV 5000","Unknown",5000,"N1",10.1142198372373,0.886464643454696,"Pass",0.033418851518901,"Plate1"
"104","S186-A08","S186","A08","CoV 5000","Unknown",5000,"N1",10.3471572111874,0.922176324466921,"Pass",0.033418851518901,"Plate1"
"105","S186-A09","S186","A09","CoV 5000","Unknown",5000,"N1",10.0258039963232,0.870028191532121,"Pass",0.033418851518901,"Plate1"
"106","S186-A10","S186","A10","CoV 5000","Unknown",5000,"N2",10.5450726156782,0.889574906332129,"Pass",0.033418851518901,"Plate1"
"107","S186-A11","S186","A11","CoV 5000","Unknown",5000,"N2",11.0384281138921,0.794514306030344,"Pass",0.033418851518901,"Plate1"
"108","S186-A12","S186","A12","CoV 5000","Unknown",5000,"N2",10.416322417869,0.874031384130517,"Pass",0.033418851518901,"Plate1"
"109","S186-A13","S186","A13","CoV 5000","Unknown",5000,"N2",10.2928316832665,0.852196650260206,"Pass",0.033418851518901,"Plate1"
"110","S186-A14","S186","A14","CoV 5000","Unknown",5000,"N2",11.0321033874198,0.790468466106191,"Pass",0.033418851518901,"Plate1"
"111","S186-A15","S186","A15","CoV 5000","Unknown",5000,"N2",10.4782881226151,0.88037559154378,"Pass",0.033418851518901,"Plate1"
"112","S186-A16","S186","A16","CoV 5000","Unknown",5000,"N2",10.5837684971788,0.906070586286479,"Pass",0.033418851518901,"Plate1"
"113","S186-A17","S186","A17","CoV 5000","Unknown",5000,"N2",10.9858910210064,0.952874731413917,"Pass",0.033418851518901,"Plate1"
"114","S186-A18","S186","A18","CoV 5000","Unknown",5000,"N2",10.6872443858848,0.920659008874149,"Pass",0.033418851518901,"Plate1"
"115","S186-A19","S186","A19","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"116","S186-A20","S186","A20","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"117","S186-A21","S186","A21","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"118","S186-A22","S186","A22","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"119","S186-A23","S186","A23","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"120","S186-A24","S186","A24","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"121","S192-A01","S192","A01","CoV 5000","Unknown",5000,"N1",8.30209380823336,0.955057681323137,"Pass",0.033418851518901,"Plate2"
"122","S192-A02","S192","A02","CoV 5000","Unknown",5000,"N1",8.39871514321149,0.95884882314824,"Pass",0.033418851518901,"Plate2"
"123","S192-A03","S192","A03","CoV 5000","Unknown",5000,"N1",8.29583268588699,0.958380996901152,"Pass",0.033418851518901,"Plate2"
"124","S192-A04","S192","A04","CoV 5000","Unknown",5000,"N1",8.25601447485391,0.952274209929722,"Pass",0.033418851518901,"Plate2"
"125","S192-A05","S192","A05","CoV 5000","Unknown",5000,"N1",8.32552167680407,0.952754746825282,"Pass",0.033418851518901,"Plate2"
"126","S192-A06","S192","A06","CoV 5000","Unknown",5000,"N1",8.27205882317951,0.956761122712895,"Pass",0.033418851518901,"Plate2"
"127","S192-A07","S192","A07","CoV 5000","Unknown",5000,"N1",8.23652661299403,0.952353744619797,"Pass",0.033418851518901,"Plate2"
"128","S192-A08","S192","A08","CoV 5000","Unknown",5000,"N1",8.29308561475754,0.955921488266606,"Pass",0.033418851518901,"Plate2"
"129","S192-A09","S192","A09","CoV 5000","Unknown",5000,"N1",8.25818816340965,0.957898489792203,"Pass",0.033418851518901,"Plate2"
"130","S192-A10","S192","A10","CoV 5000","Unknown",5000,"N2",8.77230626394077,0.982336103311139,"Pass",0.033418851518901,"Plate2"
"131","S192-A11","S192","A11","CoV 5000","Unknown",5000,"N2",8.79084223366475,0.978733467711855,"Pass",0.033418851518901,"Plate2"
"132","S192-A12","S192","A12","CoV 5000","Unknown",5000,"N2",8.77032240574646,0.978044494596545,"Pass",0.033418851518901,"Plate2"
"133","S192-A13","S192","A13","CoV 5000","Unknown",5000,"N2",8.78568913657379,0.978677063113096,"Pass",0.033418851518901,"Plate2"
"134","S192-A14","S192","A14","CoV 5000","Unknown",5000,"N2",8.81946104554583,0.982916947707529,"Pass",0.033418851518901,"Plate2"
"135","S192-A15","S192","A15","CoV 5000","Unknown",5000,"N2",8.79353466455265,0.982249589548596,"Pass",0.033418851518901,"Plate2"
"136","S192-A16","S192","A16","CoV 5000","Unknown",5000,"N2",8.74618358837673,0.977439056294448,"Pass",0.033418851518901,"Plate2"
"137","S192-A17","S192","A17","CoV 5000","Unknown",5000,"N2",8.79538448849794,0.986076048887997,"Pass",0.033418851518901,"Plate2"
"138","S192-A18","S192","A18","CoV 5000","Unknown",5000,"N2",8.74572886932671,0.981377444080072,"Pass",0.033418851518901,"Plate2"
"139","S192-A19","S192","A19","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate2"
"140","S192-A20","S192","A20","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate2"
"141","S192-A21","S192","A21","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate2"
"142","S192-A22","S192","A22","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate2"
"143","S192-A23","S192","A23","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate2"
"144","S192-A24","S192","A24","CoV 5000","Unknown",5000,"RP",999,0,"Flag",0.033418851518901,"Plate2"
"145","S090-A01","S090","A01","RX QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"146","S090-A02","S090","A02","RX QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"147","S090-A03","S090","A03","RX QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"148","S090-A04","S090","A04","RX QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"149","S090-A05","S090","A05","RX QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"150","S090-A06","S090","A06","RX QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"151","S090-A07","S090","A07","RX QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"152","S090-A08","S090","A08","RX QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"153","S090-A09","S090","A09","RX QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"154","S090-A10","S090","A10","RX QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"155","S090-A11","S090","A11","RX QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"156","S090-A12","S090","A12","RX QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"157","S090-A13","S090","A13","RX QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"158","S090-A14","S090","A14","RX QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"159","S090-A15","S090","A15","RX QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"160","S090-A16","S090","A16","RX QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"161","S090-A17","S090","A17","RX QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"162","S090-A18","S090","A18","RX QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"163","S090-A19","S090","A19","RX QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"164","S090-A20","S090","A20","RX QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"165","S090-A21","S090","A21","RX QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"166","S090-A22","S090","A22","RX QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"167","S090-A23","S090","A23","RX QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"168","S090-A24","S090","A24","RX QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"169","S096-A01","S096","A01","RX QC","Unknown",1,"N1",14.6881142609521,0.985984096518009,"Pass",0.033418851518901,"Plate2"
"170","S096-A02","S096","A02","RX QC","Unknown",1,"N1",15.0318364236519,0.886144595376956,"Pass",0.033418851518901,"Plate2"
"171","S096-A03","S096","A03","RX QC","Unknown",1,"N1",14.6908688264157,0.984078779064132,"Pass",0.033418851518901,"Plate2"
"172","S096-A04","S096","A04","RX QC","Unknown",1,"N1",14.7044152767199,0.987766951367002,"Pass",0.033418851518901,"Plate2"
"173","S096-A05","S096","A05","RX QC","Unknown",1,"N1",14.9308657281662,1,"Pass",0.033418851518901,"Plate2"
"174","S096-A06","S096","A06","RX QC","Unknown",1,"N1",14.6830420565375,0.993802549155728,"Pass",0.033418851518901,"Plate2"
"175","S096-A07","S096","A07","RX QC","Unknown",1,"N1",14.6226648274983,0.983533096857416,"Pass",0.033418851518901,"Plate2"
"176","S096-A08","S096","A08","RX QC","Unknown",1,"N1",14.7881179811693,1,"Pass",0.033418851518901,"Plate2"
"177","S096-A09","S096","A09","RX QC","Unknown",1,"N1",14.577742863726,0.97559219735825,"Pass",0.033418851518901,"Plate2"
"178","S096-A10","S096","A10","RX QC","Unknown",1,"N2",14.3259482882475,0.883818731705375,"Pass",0.033418851518901,"Plate2"
"179","S096-A11","S096","A11","RX QC","Unknown",1,"N2",14.5280722185538,0.911372785636617,"Pass",0.033418851518901,"Plate2"
"180","S096-A12","S096","A12","RX QC","Unknown",1,"N2",14.3527502692652,0.887633311728518,"Pass",0.033418851518901,"Plate2"
"181","S096-A13","S096","A13","RX QC","Unknown",1,"N2",14.3391115703747,0.884884304860086,"Pass",0.033418851518901,"Plate2"
"182","S096-A14","S096","A14","RX QC","Unknown",1,"N2",14.5290878353621,0.912080750044486,"Pass",0.033418851518901,"Plate2"
"183","S096-A15","S096","A15","RX QC","Unknown",1,"N2",14.4061175410669,0.892902472981788,"Pass",0.033418851518901,"Plate2"
"184","S096-A16","S096","A16","RX QC","Unknown",1,"N2",14.4086578063303,0.900480153962461,"Pass",0.033418851518901,"Plate2"
"185","S096-A17","S096","A17","RX QC","Unknown",1,"N2",14.6273897768559,0.934078692447817,"Pass",0.033418851518901,"Plate2"
"186","S096-A18","S096","A18","RX QC","Unknown",1,"N2",14.4343752367083,0.902055866445199,"Pass",0.033418851518901,"Plate2"
"187","S096-A19","S096","A19","RX QC","Unknown",1,"RP",11.7615726885125,0.961815573388369,"Pass",0.033418851518901,"Plate2"
"188","S096-A20","S096","A20","RX QC","Unknown",1,"RP",11.9448641258198,0.958650585106176,"Pass",0.033418851518901,"Plate2"
"189","S096-A21","S096","A21","RX QC","Unknown",1,"RP",11.7261720546333,0.95473294283464,"Pass",0.033418851518901,"Plate2"
"190","S096-A22","S096","A22","RX QC","Unknown",1,"RP",11.7265778290484,0.958206640541617,"Pass",0.033418851518901,"Plate2"
"191","S096-A23","S096","A23","RX QC","Unknown",1,"RP",12.050499707203,0.859674764947365,"Pass",0.033418851518901,"Plate2"
"192","S096-A24","S096","A24","RX QC","Unknown",1,"RP",11.762101178377,0.960111302396863,"Pass",0.033418851518901,"Plate2"
"193","S114-A01","S114","A01","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"194","S114-A02","S114","A02","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"195","S114-A03","S114","A03","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"196","S114-A04","S114","A04","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"197","S114-A05","S114","A05","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"198","S114-A06","S114","A06","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"199","S114-A07","S114","A07","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"200","S114-A08","S114","A08","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"201","S114-A09","S114","A09","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate1"
"202","S114-A10","S114","A10","NT QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"203","S114-A11","S114","A11","NT QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"204","S114-A12","S114","A12","NT QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"205","S114-A13","S114","A13","NT QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"206","S114-A14","S114","A14","NT QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"207","S114-A15","S114","A15","NT QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"208","S114-A16","S114","A16","NT QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"209","S114-A17","S114","A17","NT QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"210","S114-A18","S114","A18","NT QC","Unknown",1,"N2",999,0,"Flag",0.033418851518901,"Plate1"
"211","S114-A19","S114","A19","NT QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"212","S114-A20","S114","A20","NT QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"213","S114-A21","S114","A21","NT QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"214","S114-A22","S114","A22","NT QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"215","S114-A23","S114","A23","NT QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"216","S114-A24","S114","A24","NT QC","Unknown",1,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"217","S120-A01","S120","A01","NT QC","Unknown",1,"N1",999,0,"Flag",0.033418851518901,"Plate2"
